vacination,prepartum,experience,capacitations,rearing_system,realiza_calostrado,calostrum_feeding_num,clostrum_feeding_vol,liquid_feeding_volume,hygiene,disease_ranking,mortality,feed_cows,milk_yield,scc,afb,ffi
1,3,4,1,2,1,2,5,2,2,1,2,2,7625,500,3,45
2,3,3,1,2,2,1,3,3,3,1,7,2,7930,250,2,
3,3,4,2,2,3,3,5,3,2,4,2,2,8500,180,2,85
3,2,4,2,2.5,1,,,2,,5,7,,,,,
3,2,2,1,1,1,2,3,2,3,1,15,2,4300,290,2,35
2,1,2,2,2,1,2,2,2,3,1,2,2,7000,305,2,40
2,1,2,2,2,1,2,2,2,3,,2,,,,,
2,1,4,1,1,2,1,4,3,2,3,2,2,9000,400,3,70
2,2,3,1,2,2,1,4,2,1,1,7,,,,,
3,2,1,1,2.5,1,3,5,3,1,4,25,2,6500,,2,60
3,2,4,1,2,1,3,5,2,2,5,2,,,,,
1,3,4,1,2,1,3,5,3,,,,,,,,
2,2,2,1,2,2,2,4,2,3,1,7,,,,,
2,3,4,1,2.5,1,1,1,3,2,1,2,2,7000,400,2,30
3,3,2,1,2,2,2,5,2,3,1,15,,,,,
3,3,4,1,2,2,2,4,3,2,1,15,2,6500,430,3,47
3,1,3,1,1,2,2,3,3,1,5,7,2,7625,400,3,30
3,2,4,1,2,2,1,3,3,2,3,2,2,7015,500,2,35
3,2,4,1,2,2,1,3,3,2,1,2,2,7015,500,2,35
2,3,4,1,2,2,2,4,2,3,,2,2,9550,150,2,100
3,2,4,1,2,2,1,2,2,3,2,7,2,8500,300,3,50
3,2,3,1,2,1,1,1,2,2,1,7,3,6800,330,2,
2,1,3,1,1,1,1,3,3,3,1,2,2,5500,330,2,
2,2,3,1,2,1,1,,2,3,1,15,2,6500,400,2,
3,2,4,2,2,3,2,4,2,2,1,2,2,7700,350,2,60
3,3,4,1,2,2,1,2,2,1,1,15,3,8500,160,3,70
3,3,4,1,2,3,2,3,3,2,1,7,2,7000,470,2,65
1,3,1,1,1,1,,,2,3,1,15,2,6800,500,2,65
3,3,2,1,2,3,1,2,2,3,1,7,3,8500,340,2,58
2,2,2,1,2,3,1,2,2,3,1,15,2,7500,180,2,55
2,2,4,1,2,1,1,1,2,3,1,15,2,5500,280,2,
2,2,4,1,1,1,1,1,2,2,1,7,2,8000,300,2,55
2,2,2,1,1,1,1,1,2,1,1,7,2,5000,300,2,55
1,2,4,1,1,1,,,2,1,1,15,1,3000,800,1,
2,3,2,1,2,3,2,2,2,2,1,7,2,7000,500,2,
2,2,1,2,2,2,1,2,2,1,1,15,3,7000,400,3,60
