Encuesta,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
2,1,3,4,1,2,1,3,2,5,1,2,1,2,1,2,3,Edad,3,3,,370,Holando,2,7625,500,3.8,3.45,2,3,3,45,24,90,14,3,2,4,60,3
6,2,3,3,1,2,2,3,1,3,1,3,1,3,1,7,2,Edad,2,2,,170,Holando,2,7930,250,3,2.8,2,2,2,,33,164,15,3,,9.5,,10.3
11,3,3,4,2,2,3,3,3,5,1,3,2,2,4,2,3,Consumo de materia seca,4,,4,180,Holando,2,8500,180,3.8,3.45,2,2,2,85,30.5,60,11,3,1,10,60,2
12,3,2,4,2,2.5,1,1,,,1,2,1,,5,7,2,Consumo de materia seca,,,4,,,,,,,,,,,,,,,,,,,
14,3,2,2,1,1,1,3,2,3,1,2,1,3,1,15,7,Edad,4,3,4,220,Holando,2,4300,290,3.8,3.4,2,2,2,35,28,180,12,3,6,15,60,9
15,2,1,2,2,2,1,3,2,2,1,2,1,3,1,2,5,Peso,3,1,,1600,Jersey y cruzas,2,7000,305,4.6,3.7,3,2,1,40,24,50,11,1,1.4,20,60,9
16,2,1,2,2,2,1,3,2,2,1,2,1,3,,2,5,Peso,3,1,,,,,,,,,,,,,,,,,,,,
21,2,1,4,1,1,2,3,1,4,1,3,2,2,3,2,4,Peso,,4,,500,Holando,2,9000,400,3.6,3.3,2,3,3,70,15,150,13,3,10,20,60,5
24,2,2,3,1,2,2,3,1,4,1,2,1,1,1,7,2,Edad,2,,,,,,,,,,,,,,,,,,,,,
26,3,2,1,1,2.5,1,3,3,5,1,3,1,1,4,25,3,Consumo de materia seca,,,4,51,Holando,2,6500,,3.1,3,3,2,3,60,27,120,14,3,3,40,60,0.5
28,3,2,4,1,2,1,1,3,5,1,2,1,2,5,2,2,Edad,4,,,,,,,,,,,,,,,,,,,,,
29,1,3,4,1,2,1,3,3,5,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,2,2,1,2,2,3,2,4,1,2,1,3,1,7,,Edad,2,,,,,,,,,,,,,,,,,,,,,
38,2,3,4,1,2.5,1,3,1,1,1,3,4,2,1,2,2,Peso,4,2,,250,Holando,2,7000,400,3.6,3.4,3,2,1,30,28,80,14,3,4,10,40,10
42,3,3,2,1,2,2,3,2,5,1,2,1,3,1,15,5,Edad,4,4,4,,,,,,,,,,,,,,,,,,,
46,3,3,4,1,2,2,3,2,4,1,3,2,2,1,15,2,Edad,4,4,4,140,Holando,2,6500,430,3.5,3.3,3,3,3,47,24,89,13,3,5,6,60,16
51,3,1,3,1,1,2,3,2,3,1,3,3,1,5,7,5,Peso,4,2,4,900,Cruza,2,7625,400,3.3,2.5,2,3,3,30,24.5,100,13.5,,15,10,50,10
52,3,2,4,1,2,2,3,1,3,1,3,1,2,3,2,2,Consumo de materia seca,,,4,450,Holando,2,7015,500,3.6,3.2,2,2,1,35,29,45,14,1,10,10,60,11
53,3,2,4,1,2,2,3,1,3,1,3,1,2,1,2,2,Consumo de materia seca,,,4,450,Holando,2,7015,500,3.6,3.2,2,2,1,35,29,45,14,1,10,10,60,11
54,2,3,4,1,2,2,3,2,4,1,2,1,3,,2,3,Peso,,4,,120,Holando,2,9550,150,3.7,3.4,2,2,2,100,26,60,14,3,5,6,60,7
57,3,2,4,1,2,2,3,1,2,1,2,1,3,2,7,3,Peso,,3,,190,Holando,2,8500,300,3.6,3.28,2,3,3,50,25,80,10,3,,,60,4
58,3,2,3,1,2,1,1,1,1,1,2,1,2,1,7,4,Edad,4,,,190,Cruza,3,6800,330,4.2,3.5,3,2,2,,30,80,15,3,1,8,50,3
